term,variable,var_label,var_class,var_type,var_nlevels,contrasts,contrasts_type,reference_row,label,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,n,model_name,outcome
vax1_az:timesincevax1-7,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 1-7,0.22967386935041248,0.7132192599120082,0.7157673154299548,-2.055269783836088,0.03985295413363014,0.05647410326396259,0.9340579701785429,NA,0 unadjusted,covidadmitted
vax1_az:timesincevax8-14,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,0.6360553334276002,0.5088760278971243,0.5090804604639275,-0.888798043377069,0.37411162762795314,0.2345118674475212,1.725142491017983,NA,0 unadjusted,covidadmitted
vax1_az:timesincevax15-21,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 15-21,3.7324899813064523,0.3244555565766636,0.3326365676182032,3.959503237063088,7.510582650533719e-5,1.9447236287316696,7.163733321654051,NA,0 unadjusted,covidadmitted
vax1_az:timesincevax22-28,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 22-28,2.1014204697328074,0.6009267606347225,0.5949310029973083,1.2482347137425431,0.21194511483455722,0.6547971349596772,6.744024606772281,NA,0 unadjusted,covidadmitted
vax1_az:timesincevax29-35,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 29-35,1.125712040053546,1.0221625759950443,1.0411023836491757,0.11374074423029666,0.9094433128615562,0.14629832556527408,8.661941906888854,NA,0 unadjusted,covidadmitted
vax1_az:timesincevax36+,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 36+,2.7381955924621515,0.5244048670839232,0.5224199321075611,1.9281407516452524,0.053837621326794746,0.9835123429873829,7.623407226192116,NA,0 unadjusted,covidadmitted
vax1_az:timesincevax1-7,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 1-7,0.22550847207947722,0.7200004953427143,0.7299901356387557,-2.040298187378458,0.041320635248672286,0.05392549402199723,0.9430432099310211,NA,1 adjusting for time,covidadmitted
vax1_az:timesincevax8-14,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,0.686212089776264,0.5154149037002105,0.5097011910023904,-0.7388025315939224,0.46002691434399734,0.2526969062323289,1.8634459723941972,NA,1 adjusting for time,covidadmitted
vax1_az:timesincevax15-21,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 15-21,3.5733440340805727,0.3399362809298021,0.3325938603077118,3.828999911194796,1.286650533675925e-4,1.8619603305964187,6.857711937294148,NA,1 adjusting for time,covidadmitted
vax1_az:timesincevax22-28,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 22-28,1.8018021315124457,0.6151703051339655,0.6006521494280355,0.980246801390388,0.3269643075372945,0.5551764810597482,5.84767372516525,NA,1 adjusting for time,covidadmitted
vax1_az:timesincevax29-35,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 29-35,0.948733164514706,1.0354247393756961,1.070812865622156,-0.04914742531711982,0.9608018091096769,0.11632324758964911,7.737873865294166,NA,1 adjusting for time,covidadmitted
vax1_az:timesincevax36+,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 36+,2.25023360297465,0.5388186898264183,0.5515643050315223,1.4704251652488194,0.14144663985565736,0.7633702279978759,6.63315267250685,NA,1 adjusting for time,covidadmitted
"poly(age, degree = 2, raw = TRUE)1","age, degree = 2","age, degree = 2",nmatrix.2,continuous,NA,NA,NA,NA,"age, degree = 2",1.0021978916766012,0.057127606218641845,0.061792573947233524,0.03552983321070273,0.9716572579254215,0.8878826109517806,1.131231315595133,NA,2 adjusting for time + demographics,covidadmitted
"poly(age, degree = 2, raw = TRUE)2","age, degree = 2","age, degree = 2",nmatrix.2,continuous,NA,NA,NA,NA,"age, degree = 2²",1.0003664141040547,6.376078476170441e-4,6.7702501783358e-4,0.5411129295824013,0.588429746866613,0.9990398635654509,1.0016947260702007,NA,2 adjusting for time + demographics,covidadmitted
sexF,sex,sex,factor,dichotomous,2,contr.treatment,treatment,TRUE,F,1,NA,NA,NA,NA,NA,NA,NA,2 adjusting for time + demographics,covidadmitted
sexM,sex,sex,factor,dichotomous,2,contr.treatment,treatment,FALSE,M,1.5698703504306728,0.17299462040448174,0.17757134338697597,2.5397850126300994,0.011092062805588703,1.108446625688406,2.2233753615612644,NA,2 adjusting for time + demographics,covidadmitted
