term,variable,var_label,var_class,var_type,var_nlevels,contrasts,contrasts_type,reference_row,label,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,n,model_name,outcome
vax1_az:timesincevax1-7,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 1-7,1.188514180960626e-6,939.6697538022738,0.28940652999342953,-47.140631618482644,0,6.7400184133861e-7,2.095789464816688e-6,NA,0 unadjusted,covidcc
vax1_az:timesincevax8-14,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,1.3752286035415253,1.04273766065604,1.0384312571363143,0.3068281816738837,0.7589741563623311,0.17966381120280553,10.526625809267264,NA,0 unadjusted,covidcc
vax1_az:timesincevax15-21,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 15-21,7.171535454979524,0.7955240144058836,0.7550818797925977,2.6091472121583146,0.009076818480994106,1.632620661997506,31.50206412253953,NA,0 unadjusted,covidcc
vax1_az:timesincevax22-28,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 22-28,9.779035783175751e-7,3847.380775399422,0.5881949320903258,-23.525967340915983,2.2124861450256063e-122,3.0876182651514725e-7,3.0971944274316035e-6,NA,0 unadjusted,covidcc
vax1_az:timesincevax29-35,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 29-35,4.842511197996697e-9,79374.36442856297,0.8255212802504956,-23.192415345609543,5.43084137630769e-119,9.60252940992266e-10,2.4420560147924897e-8,NA,0 unadjusted,covidcc
vax1_az:timesincevax36+,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 36+,91.77261642647444,1.7692984271891112,0.8311512572014651,5.437414571610264,5.405925512195099e-8,17.998482113260902,467.94018922048417,NA,0 unadjusted,covidcc
vax1_az:timesincevax1-7,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 1-7,1.7150253998870332e-6,935.6819648167644,0.3269931952606833,-40.600486063455904,0,9.035109992644128e-7,3.255424809053046e-6,NA,1 adjusting for time,covidcc
vax1_az:timesincevax8-14,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,1.834720213303826,1.0607570207561214,0.9526769635125016,0.6370385984036585,0.5240997020249224,0.2835631186603037,11.871072221977485,NA,1 adjusting for time,covidcc
vax1_az:timesincevax15-21,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 15-21,10.331793218859243,0.8371841005725311,0.9299692182450692,2.5110786632051565,0.012036287262517296,1.6694924980852082,63.93916189482496,NA,1 adjusting for time,covidcc
vax1_az:timesincevax22-28,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 22-28,2.300835974094621e-6,3416.491470788924,0.5685916688261087,-22.832269176353286,2.1927413057997923e-115,7.549176044147588e-7,7.012482089077705e-6,NA,1 adjusting for time,covidcc
vax1_az:timesincevax29-35,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 29-35,2.8033538031579525e-6,7564.281412454496,0.9233387938254786,-13.846157181100523,1.3420198811566833e-43,4.589131538244677e-7,1.712479252378569e-5,NA,1 adjusting for time,covidcc
vax1_az:timesincevax36+,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 36+,2993898974.9568543,11948.834555176458,1.0568890980844639,20.64534719813279,1.0748750277468977e-94,377234592.05312055,23760893780.879753,NA,1 adjusting for time,covidcc
"poly(age, degree = 2, raw = TRUE)1","age, degree = 2","age, degree = 2",nmatrix.2,continuous,NA,NA,NA,NA,"age, degree = 2",1.098891474985306,0.20531106386589865,0.1988978238223124,0.4741224406445292,0.6354125969631528,0.7441366068651922,1.6227698821086805,NA,2 adjusting for time + demographics,covidcc
"poly(age, degree = 2, raw = TRUE)2","age, degree = 2","age, degree = 2",nmatrix.2,continuous,NA,NA,NA,NA,"age, degree = 2²",0.9995726219474269,0.00220490990938298,0.002092316978907563,-0.20430432334638235,0.8381156916851638,0.9954819021242158,1.0036801517082534,NA,2 adjusting for time + demographics,covidcc
sexF,sex,sex,factor,categorical,3,contr.treatment,treatment,TRUE,F,1,NA,NA,NA,NA,NA,NA,NA,2 adjusting for time + demographics,covidcc
sexM,sex,sex,factor,categorical,3,contr.treatment,treatment,FALSE,M,0.9974575890910534,0.5795420915651971,0.5598278576975377,-0.004547198373481461,0.9963718731260334,0.3329416308982431,2.9882764716179775,NA,2 adjusting for time + demographics,covidcc
sexI,sex,sex,factor,categorical,3,contr.treatment,treatment,FALSE,I,NA,0,0,NA,NA,NA,NA,NA,2 adjusting for time + demographics,covidcc
imd,imd,imd,numeric,continuous,NA,NA,NA,NA,imd,0.9941496949195409,0.002828420712521056,0.0023993355150840707,-2.4454625528144356,0.014466647090400542,0.9894855708098664,0.9988358042449195,NA,2 adjusting for time + demographics,covidcc
ethnicity_combinedWhite,ethnicity_combined,ethnicity_combined,factor,categorical,5,contr.treatment,treatment,TRUE,White,1,NA,NA,NA,NA,NA,NA,NA,2 adjusting for time + demographics,covidcc
ethnicity_combinedBlack,ethnicity_combined,ethnicity_combined,factor,categorical,5,contr.treatment,treatment,FALSE,Black,2.437797835400769,1.0808296980817405,1.1666600810375674,0.7638001160674707,0.4449863676580036,0.24770503003562017,23.9916738284648,NA,2 adjusting for time + demographics,covidcc
ethnicity_combinedSouth Asian,ethnicity_combined,ethnicity_combined,factor,categorical,5,contr.treatment,treatment,FALSE,South Asian,2.2964399000977505,0.8000063021031655,0.9120004972616254,0.911578509793562,0.3619906394259294,0.3843782926205862,13.719911649554284,NA,2 adjusting for time + demographics,covidcc
ethnicity_combinedMixed,ethnicity_combined,ethnicity_combined,factor,categorical,5,contr.treatment,treatment,FALSE,Mixed,6.178563452065969,1.0539619479392786,1.072395613398519,1.6981473726430605,0.08947995043752105,0.7552012672550952,50.548970170504965,NA,2 adjusting for time + demographics,covidcc
ethnicity_combinedOther,ethnicity_combined,ethnicity_combined,factor,categorical,5,contr.treatment,treatment,FALSE,Other,3.95353971799061,1.0558302296393902,1.101287989481635,1.2481851449329986,0.21196326276319682,0.45663381597971453,34.22978271592493,NA,2 adjusting for time + demographics,covidcc
vax1_az:timesincevax1-7,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 1-7,2.8280467791449915e-6,730.667326010776,0.3289330040477284,-38.84050585203574,0,1.484220098440431e-6,5.388586634446086e-6,NA,2 adjusting for time + demographics,covidcc
vax1_az:timesincevax8-14,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,1.9258288729162016,1.0649707009638407,0.9491943070766994,0.6904344595331436,0.48992101264318116,0.29968294961012487,12.375802002024821,NA,2 adjusting for time + demographics,covidcc
vax1_az:timesincevax15-21,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 15-21,10.358404932223284,0.8351902482630499,0.950103481690873,2.460572249189137,0.01387156393672792,1.6090270108251998,66.68412153309963,NA,2 adjusting for time + demographics,covidcc
vax1_az:timesincevax22-28,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 22-28,3.7528077101149853e-6,2545.1028729010477,0.623984661398086,-20.021335536431437,3.5896898520893936e-89,1.10463704978462e-6,1.2749496055599862e-5,NA,2 adjusting for time + demographics,covidcc
vax1_az:timesincevax29-35,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 29-35,3.515826367192393e-6,5205.5210296516625,0.9946068592589234,-12.626331546052018,1.5116265823224504e-36,5.005143406748296e-7,2.4696665089713946e-5,NA,2 adjusting for time + demographics,covidcc
vax1_az:timesincevax36+,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 36+,1475844781.3522024,9119.558075311645,1.0420251493226154,20.261023843458883,2.8399548233447976e-91,191455245.10581985,11376642188.312235,NA,2 adjusting for time + demographics,covidcc
"poly(age, degree = 2, raw = TRUE)1","age, degree = 2","age, degree = 2",nmatrix.2,continuous,NA,NA,NA,NA,"age, degree = 2",1.067761553133388,0.20855125984559406,0.19713728166142125,0.33258270684142727,0.7394492988904595,0.7255556373515606,1.5713677568704407,NA,3 adjusting for time + demographics + clinical,covidcc
"poly(age, degree = 2, raw = TRUE)2","age, degree = 2","age, degree = 2",nmatrix.2,continuous,NA,NA,NA,NA,"age, degree = 2²",0.9996088430822304,0.002246713841939419,0.002106160611536327,-0.18575669749453502,0.8526355638191261,0.9954909639811125,1.00374375591736,NA,3 adjusting for time + demographics + clinical,covidcc
sexF,sex,sex,factor,categorical,3,contr.treatment,treatment,TRUE,F,1,NA,NA,NA,NA,NA,NA,NA,3 adjusting for time + demographics + clinical,covidcc
sexM,sex,sex,factor,categorical,3,contr.treatment,treatment,FALSE,M,1.2287672353230563,0.590800100175374,0.5528578283098184,0.3726300118119639,0.7094238328402994,0.41579205438464406,3.6313077719534923,NA,3 adjusting for time + demographics + clinical,covidcc
sexI,sex,sex,factor,categorical,3,contr.treatment,treatment,FALSE,I,NA,0,0,NA,NA,NA,NA,NA,3 adjusting for time + demographics + clinical,covidcc
imd,imd,imd,numeric,continuous,NA,NA,NA,NA,imd,0.9943237815691798,0.0028495974957400572,0.002505766690710136,-2.2717156397779728,0.023103690942152186,0.9894524181582516,0.9992191281257811,NA,3 adjusting for time + demographics + clinical,covidcc
ethnicity_combinedWhite,ethnicity_combined,ethnicity_combined,factor,categorical,5,contr.treatment,treatment,TRUE,White,1,NA,NA,NA,NA,NA,NA,NA,3 adjusting for time + demographics + clinical,covidcc
ethnicity_combinedBlack,ethnicity_combined,ethnicity_combined,factor,categorical,5,contr.treatment,treatment,FALSE,Black,1.8670781539406582,1.0758002221023288,1.1115035139693932,0.5617388668084884,0.5742939491791037,0.21137274677236856,16.492101683650716,NA,3 adjusting for time + demographics + clinical,covidcc
ethnicity_combinedSouth Asian,ethnicity_combined,ethnicity_combined,factor,categorical,5,contr.treatment,treatment,FALSE,South Asian,3.6247834346766172,0.8163590151476376,0.901742697692439,1.428117519176255,0.1532580357507373,0.6190379705392444,21.22495803748609,NA,3 adjusting for time + demographics + clinical,covidcc
ethnicity_combinedMixed,ethnicity_combined,ethnicity_combined,factor,categorical,5,contr.treatment,treatment,FALSE,Mixed,6.306493690233016,1.0595067156801652,1.0982202318910506,1.6768766350766615,0.09356660795071844,0.7327928266918955,54.27436134233751,NA,3 adjusting for time + demographics + clinical,covidcc
ethnicity_combinedOther,ethnicity_combined,ethnicity_combined,factor,categorical,5,contr.treatment,treatment,FALSE,Other,5.296449488599547,1.0618059406026246,1.0565889853243375,1.5777532336724522,0.11462231144675503,0.6677511736069234,42.01022520673193,NA,3 adjusting for time + demographics + clinical,covidcc
bmiNot obese,bmi,bmi,factor,categorical,4,contr.treatment,treatment,TRUE,Not obese,1,NA,NA,NA,NA,NA,NA,NA,3 adjusting for time + demographics + clinical,covidcc
bmiObese I (30-34.9),bmi,bmi,factor,categorical,4,contr.treatment,treatment,FALSE,Obese I (30-34.9),1.8877255441256882,0.858499703959558,0.7931266829699906,0.8010986166793962,0.42307455698590496,0.39886708207622323,8.934073254166513,NA,3 adjusting for time + demographics + clinical,covidcc
bmiObese II (35-39.9),bmi,bmi,factor,categorical,4,contr.treatment,treatment,FALSE,Obese II (35-39.9),4.105405805559916,0.8278589657680157,0.767593525809347,1.8399120718723205,0.0657811474098089,0.9119673673843524,18.481315703944183,NA,3 adjusting for time + demographics + clinical,covidcc
bmiObese III (40+),bmi,bmi,factor,categorical,4,contr.treatment,treatment,FALSE,Obese III (40+),6.79208059048838,0.8421028747415451,0.7346189292027564,2.60782459896527,0.009111963203360185,1.6095114260178112,28.66233690668964,NA,3 adjusting for time + demographics + clinical,covidcc
prior_covid_infection,prior_covid_infection,prior_covid_infection,numeric,continuous,NA,NA,NA,NA,prior_covid_infection,2.7423700906860327e-6,484.9541373080035,0.2860312044477282,-44.773744317808934,0,1.5655100539085375e-6,4.803925529263128e-6,NA,3 adjusting for time + demographics + clinical,covidcc
psychosis_schiz_bipolar,psychosis_schiz_bipolar,psychosis_schiz_bipolar,numeric,continuous,NA,NA,NA,NA,psychosis_schiz_bipolar,1.1660719653581514e-6,1464.4878051552782,0.5926293248520728,-23.052976252043443,1.3731943884232972e-117,3.649878086167588e-7,3.7253951948349785e-6,NA,3 adjusting for time + demographics + clinical,covidcc
multimorb0,multimorb,multimorb,factor,categorical,4,contr.treatment,treatment,TRUE,0,1,NA,NA,NA,NA,NA,NA,NA,3 adjusting for time + demographics + clinical,covidcc
multimorb1,multimorb,multimorb,factor,categorical,4,contr.treatment,treatment,FALSE,1,3.029016769189981,0.8217608609429237,0.6215274488990515,1.783087891300905,0.07457199721662873,0.8958938473171847,10.241104585670614,NA,3 adjusting for time + demographics + clinical,covidcc
multimorb2,multimorb,multimorb,factor,categorical,4,contr.treatment,treatment,FALSE,2,12.81263468816354,0.8948580110389169,0.9250117477550291,2.7571885170973145,0.005830072893689996,2.0905810845406236,78.5253482231732,NA,3 adjusting for time + demographics + clinical,covidcc
multimorb3+,multimorb,multimorb,factor,categorical,4,contr.treatment,treatment,FALSE,3+,1.0235902397190346e-7,10904.104247179259,0.850964761076869,-18.913567396823737,8.81843615015254e-80,1.9310059778701067e-8,5.425860876949336e-7,NA,3 adjusting for time + demographics + clinical,covidcc
vax1_az:timesincevax1-7,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 1-7,3.0632683399233167e-6,630.8222284971449,0.3527344074001526,-35.99316613491536,1.0700295361452973e-283,1.5343942784636075e-6,6.115516105659875e-6,NA,3 adjusting for time + demographics + clinical,covidcc
vax1_az:timesincevax8-14,vax1_az:timesincevax,vax1_az * timesincevax,NA,interaction,NA,NA,NA,NA,vax1_az * 8-14,1.6679759010379729,1.0636378491026486,0.9838828481076531,0.5199916402620777,0.6030694017187458,0.24249744826355715,11.472877864758718,NA,3 adjusting for time + demographics + clinical,covidcc
