variable,var_type,var_class,var_label,row_type,label,stat_1,stat_2
vax1_type,categorical,character,Vaccine type,label,Vaccine type,NA,NA
vax1_type,categorical,character,Vaccine type,level,az,0 (0%),"88,074 (26%)"
vax1_type,categorical,character,Vaccine type,level,pfizer,"65,262 (100%)","256,383 (74%)"
ageband,categorical,factor,Age,label,Age,NA,NA
ageband,categorical,factor,Age,level,18-30,"8,047 (12%)","57,368 (17%)"
ageband,categorical,factor,Age,level,30s,"13,829 (21%)","80,845 (23%)"
ageband,categorical,factor,Age,level,40s,"17,701 (27%)","86,110 (25%)"
ageband,categorical,factor,Age,level,50s,"19,159 (29%)","92,535 (27%)"
ageband,categorical,factor,Age,level,60-64,"6,526 (10.0%)","27,599 (8.0%)"
sex,categorical,factor,Sex,label,Sex,NA,NA
sex,categorical,factor,Sex,level,F,"46,900 (72%)","271,039 (79%)"
sex,categorical,factor,Sex,level,M,"18,362 (28%)","73,418 (21%)"
ethnicity_combined,categorical,factor,Ethnicity,label,Ethnicity,NA,NA
ethnicity_combined,categorical,factor,Ethnicity,level,White,"51,748 (79%)","286,198 (83%)"
ethnicity_combined,categorical,factor,Ethnicity,level,Black,"1,296 (2.0%)","13,944 (4.0%)"
ethnicity_combined,categorical,factor,Ethnicity,level,South Asian,"8,862 (14%)","30,859 (9.0%)"
ethnicity_combined,categorical,factor,Ethnicity,level,Mixed,"1,152 (1.8%)","5,538 (1.6%)"
ethnicity_combined,categorical,factor,Ethnicity,level,Other,"2,204 (3.4%)","7,918 (2.3%)"
imd_Q5,categorical,factor,IMD,label,IMD,NA,NA
imd_Q5,categorical,factor,IMD,level,1 most deprived,"8,582 (13%)","52,590 (15%)"
imd_Q5,categorical,factor,IMD,level,2,"11,588 (18%)","64,920 (19%)"
imd_Q5,categorical,factor,IMD,level,3,"13,962 (21%)","75,279 (22%)"
imd_Q5,categorical,factor,IMD,level,4,"15,415 (24%)","77,354 (22%)"
imd_Q5,categorical,factor,IMD,level,5 least deprived,"15,715 (24%)","74,314 (22%)"
region,categorical,factor,Region,label,Region,NA,NA
region,categorical,factor,Region,level,Yorkshire and The Humber,"5,254 (8.1%)","53,902 (16%)"
region,categorical,factor,Region,level,East,"9,354 (14%)","80,167 (23%)"
region,categorical,factor,Region,level,East Midlands,"13,512 (21%)","61,859 (18%)"
region,categorical,factor,Region,level,West Midlands,"3,397 (5.2%)","12,064 (3.5%)"
region,categorical,factor,Region,level,South West,"11,381 (17%)","44,977 (13%)"
region,categorical,factor,Region,level,North East,"3,288 (5.0%)","21,478 (6.2%)"
region,categorical,factor,Region,level,North West,"9,233 (14%)","34,119 (9.9%)"
region,categorical,factor,Region,level,London,"4,154 (6.4%)","14,141 (4.1%)"
region,categorical,factor,Region,level,South East,"5,689 (8.7%)","21,750 (6.3%)"
vax1_day,continuous,integer,Day of vaccination,label,Day of vaccination,"16 (11, 23)","42 (36, 52)"
bmi,categorical,factor,Body Mass Index,label,Body Mass Index,NA,NA
bmi,categorical,factor,Body Mass Index,level,Not obese,"51,791 (79%)","269,603 (78%)"
bmi,categorical,factor,Body Mass Index,level,Obese I (30-34.9),"7,671 (12%)","42,676 (12%)"
bmi,categorical,factor,Body Mass Index,level,Obese II (35-39.9),"3,474 (5.3%)","19,532 (5.7%)"
bmi,categorical,factor,Body Mass Index,level,Obese III (40+),"2,326 (3.6%)","12,646 (3.7%)"
heart_failure,dichotomous,logical,Heart failure,label,Heart failure,237 (0.4%),879 (0.3%)
other_heart_disease,dichotomous,logical,Other heart disease,label,Other heart disease,"1,685 (2.6%)","6,310 (1.8%)"
dialysis,dichotomous,logical,Dialysis,label,Dialysis,5 (<0.1%),24 (<0.1%)
diabetes,dichotomous,logical,Diabetes,label,Diabetes,"4,859 (7.4%)","18,648 (5.4%)"
chronic_liver_disease,dichotomous,logical,Chronic liver disease,label,Chronic liver disease,210 (0.3%),961 (0.3%)
current_copd,dichotomous,logical,COPD,label,COPD,414 (0.6%),"1,770 (0.5%)"
other_resp_conditions,dichotomous,logical,Other respiratory conditions,label,Other respiratory conditions,262 (0.4%),"1,048 (0.3%)"
lung_cancer,dichotomous,logical,Lung Cancer,label,Lung Cancer,16 (<0.1%),67 (<0.1%)
haematological_cancer,dichotomous,logical,Haematological cancer,label,Haematological cancer,147 (0.2%),599 (0.2%)
cancer_excl_lung_and_haem,dichotomous,logical,"Cancer excl. lung, haemo",label,"Cancer excl. lung, haemo","1,892 (2.9%)","8,790 (2.6%)"
any_immunosuppression,dichotomous,logical,Immunosuppressed,label,Immunosuppressed,"1,762 (2.7%)","7,231 (2.1%)"
other_neuro_conditions,dichotomous,logical,Other neurological conditions,label,Other neurological conditions,349 (0.5%),"1,682 (0.5%)"
LD_incl_DS_and_CP,dichotomous,logical,Learning disabilities,label,Learning disabilities,52 (<0.1%),526 (0.2%)
psychosis_schiz_bipolar,dichotomous,logical,Serious mental illness,label,Serious mental illness,304 (0.5%),"2,468 (0.7%)"
multimorb,categorical,factor,Morbidity count,label,Morbidity count,NA,NA
multimorb,categorical,factor,Morbidity count,level,0,"50,815 (78%)","275,626 (80%)"
multimorb,categorical,factor,Morbidity count,level,1,"11,482 (18%)","56,501 (16%)"
multimorb,categorical,factor,Morbidity count,level,2,"2,573 (3.9%)","10,889 (3.2%)"
multimorb,categorical,factor,Morbidity count,level,3+,392 (0.6%),"1,441 (0.4%)"
prior_covid_infection,dichotomous,logical,Prior SARS-CoV-2 infection,label,Prior SARS-CoV-2 infection,"4,613 (7.1%)","42,310 (12%)"
